,Cardio Mortality Rate
0,150.8
1,724.4
2,373.9
3,222.5
4,180.4
5,381.5
6,226.6
7,291.1
8,228.4
9,362.2
10,418.7
11,111.8
12,240.1
13,157.0
14,353.7
15,319.1
16,635.9
17,221.5
18,146.1
19,278.7
20,389.3
21,235.2
22,250.6
23,379.4
24,336.8
25,257.6
26,181.7
27,384.0
28,259.4
29,560.5
30,209.8
31,337.6
32,293.5
33,207.9
34,551.7
35,326.1
36,224.8
37,587.9
38,425.4
39,542.3
40,185.1
41,471.1
42,337.6
43,680.7
44,131.2
45,302.4
46,346.3
47,401.7
48,151.2
49,185.8
50,354.3
51,368.0
52,225.1
53,202.4
54,287.4
55,415.4
56,183.9
57,249.5
58,315.3
59,614.0
60,212.2
61,404.2
62,248.5
63,327.1
64,189.3
65,154.7
66,423.6
67,526.6
68,467.5
69,383.4
70,303.2
71,360.1
72,483.3
73,208.5
74,377.4
75,215.7
76,262.7
77,291.2
78,387.3
79,295.4
80,288.8
81,381.4
82,172.1
83,631.6
84,178.9
85,186.2
86,224.2
87,228.0
88,277.6
89,177.6
90,555.5
91,434.7
92,205.3
93,341.2
94,291.3
95,157.2
96,172.2
97,226.1
98,430.1
99,235.0
100,563.2
101,506.2
102,402.1
103,332.5
104,303.4
105,373.7
106,367.4
107,328.9
108,253.2
109,154.2
110,240.8
111,409.3
112,228.1
113,446.4
114,208.1
115,362.3
116,612.6
117,476.3
118,328.8
119,402.8
120,201.1
121,253.7
122,172.4
123,420.0
124,168.8
125,296.1
126,232.9
127,182.0
128,230.9
129,477.0
130,146.6
131,167.6
132,315.5
133,205.4
134,193.2
135,401.3
136,189.1
137,715.3
138,349.7
139,267.5
140,612.9
141,373.4
142,444.3
143,395.9
144,222.7
145,305.7
146,156.1
147,382.1
148,244.6
149,405.5
150,195.8
151,336.7
152,235.7
153,331.8
154,340.9
155,286.5
