id,value
Ricebran Oil,259.622194
Plantains,2.83643735
"Sugar, Raw Equivalent",36.2074517
Alc. Beverages,32.4950393
Roots & Tubers,38.3439089
Olives,12.8178033
Cloves,451.037763
Raw Animal Fats,77.4756915
Millet,0.0936269777
Coconuts,12.1100979
Eggs,15.3853443
Vegetables,5.43087951
Sesame seeds,114.389605
Marine Fish,37.0398425
Wine,2.96470785
Pigmeat,9.32949464
Apples,6.41711821
Rape and Mustard Oil,4.79716527
"Fish, Liver Oil",613.92163
Maize,1.51822621
Sweeteners,36.9113138
"Fish, Body Oil",99.3549219
Honey,120.985128
Demersal Fish,3.49920815
Groundnuts (Shelled Eq),132.741726
Barley,2.75468393
Maize Germ Oil,1.22397482
Beer,5.60413266
Groundnut Oil,10.2514982
Sugar non-centrifugal,23.3227016
Pineapples,5.56399735
Pulses,9.39555199
Sugar (Raw Equivalent),860.366706
Meat,22.1103405
Molasses,308.237011
Pimento,38.0934817
Palm Oil,14.777303
Oilcrops,164.219001
Dates,7.56792456
Oats,100.31807
Soybeans,121.716967
Freshwater Fish,11.6801603
Beans,5.72781859
Sugar beet,95.8600721
Cephalopods,98.0433727
Mutton & Goat Meat,23.0449176
Sesameseed Oil,88.7531016
Grapes,39.0353142
Beverages (Fermented),0.026250187
Bovine Meat,2.12196741
Molluscs,2.73827666
Aquatic Plants,94.8350793
Cottonseed Oil,11.5437768
Onions,11.5600921
Coffee,64.6393372
Roots,10.02897
Sorghum,0.601467816
Meat Meal,1.09906217e-08
"Sugar, Refined Equiv",974.342722
Infant food,182.087765
Whey,6.70469482
Groundnuts,125.964723
Sunflower seed,469.281551
Cereals,20.266866
Pepper,672.937069
Crustaceans,63.8902445
Peas,46.3172348
"Milk, Whole",0.938115471
Nuts,6.71482869
Cocoa Beans,71.0856988
Wheat,2.37821876
Cassava,11.5358004
Sugar cane,5.20905762
Cheese,14.8476549
Aquatic Animals,516.232396
Sunflowerseed Oil,13.3493417
Offals,9.17582794
Palmkernel Oil,75.7181214
Cream,12.8918905
Potatoes,0.371086341
Fruits,12.9005147
Yams,8.56290263
Citrus,21.3733012
"Lemons, Limes",26.8283192
Poultry Meat,9.37588209
Tea,15.6774962
Soybean Oil,7.13841564
Grapefruit,5.34888587
Rye,5.8015293
Olive Oil,47.8579541
Coconut Oil,115.177463
Milk,0.0621961051
Tomatoes,2.38934805
Oilcrops Oil,83.5755652
Pelagic Fish,5.78897766
"Butter, Ghee",69.5701414
Bananas,3.89785507
Spices,38.0287046
"Meat, Aquatic Mammals",4.54747351e-12
Sweet potatoes,1.08410911
"Oranges, Mandarines",5.61968996
