id,value
Ricebran Oil,80.5033948974
Plantains,1.96676296742
"Sugar, Raw Equivalent",7.90987363995
"Beverages, Alcoholic",4.94374401643
Roots & Tuber Dry Equiv,5.04548288076
Olives (including preserved),19.3168755237
Cloves,68.866440303
"Fats, Animals, Raw",7.91420894973
Millet and products,1.57430834654
Coconuts - Incl Copra,7.81037870401
Eggs,13.7416728967
"Vegetables, Other",3.53409773492
Sesame seed,16.7955496486
"Marine Fish, Other",12.5761011844
Wine,3.53616854802
Pigmeat,2.72873259225
Apples and products,11.6841984321
Rape and Mustard Oil,12.6835622756
"Fish, Liver Oil",85.7383653331
Maize and products,4.808282656
"Sweeteners, Other",12.855160598
"Fish, Body Oil",15.2426262173
Honey,26.6191513576
Demersal Fish,9.31077712653
Groundnuts (Shelled Eq),42.4608792891
Barley and products,9.16979135531
Maize Germ Oil,9.58527598977
Beer,4.09393359741
Groundnut Oil,22.3297918486
Sugar non-centrifugal,12.191763039
Pineapples and products,5.81370375062
"Pulses, Other and products",7.60145853768
"Meat, Other",6.31804618533
Molasses,25.398712428
Pimento,16.3371763166
Palm Oil,3.71526830794
"Oilcrops, Other",11.5550668973
Dates,5.55856543543
Oats,20.4920863506
Soyabeans,26.872362345
Freshwater Fish,5.70133285294
Beans,5.72341611278
Sugar beet,45.226689576
Cephalopods,8.65711751104
Mutton & Goat Meat,4.72492920582
Sesameseed Oil,26.514850801
Grapes and products (excl wine),11.6581769587
"Beverages, Fermented",3.19539956813
Bovine Meat,4.80753926661
"Molluscs, Other",10.6502412649
Aquatic Plants,18.6470547004
Cottonseed Oil,15.8878992318
Onions,10.4507501166
Coffee and products,14.7442154081
"Roots, Other",2.37935726195
Sorghum and products,6.16588606771
Meat Meal,0.000385740496967
Infant food,29.2267700576
Whey,19.6921043568
Groundnuts (in Shell Eq),35.1908228094
Sunflower seed,36.3036467865
"Cereals, Other",13.2667260468
Pepper,86.0437539279
Crustaceans,8.90731633546
Peas,36.8375254326
"Milk, Whole",2.56028926881
Nuts and products,9.1831907799
Cocoa Beans and products,30.8662959391
Wheat and products,2.52479533824
Cassava and products,2.75208352889
Sugar cane,1.75673223628
Cheese,7.63198957677
"Aquatic Animals, Others",43.1783663424
Sunflowerseed Oil,15.0496275369
"Offals, Edible",6.5827454075
Palmkernel Oil,25.6663654614
Cream,18.6268281519
Potatoes and products,6.22072361546
"Fruits, Other",4.2856774727
Yams,4.71615589225
"Citrus, Other",12.7760171806
"Lemons, Limes and products",4.93277039806
Poultry Meat,3.13789264635
Tea (including mate),14.396871813
Soyabean Oil,3.73948511162
Grapefruit and products,6.30659036247
Rye and products,10.8087321181
Olive Oil,15.8075679344
Coconut Oil,15.881419458
Milk - Excluding Butter,2.37730259117
Tomatoes and products,7.7681112698
"Oilcrops Oil, Other",6.98498865425
Pelagic Fish,5.25654073512
"Butter, Ghee",11.8254819775
Bananas,0.361711572942
"Spices, Other",38.3878822026
"Meat, Aquatic Mammals",0.0
Sweet potatoes,3.07009844956
"Oranges, Mandarines",5.03666637767
