id,value
negative.Ricebran Oil,6480.79659
positive.Plantains,3.86815657
"positive.Sugar, Raw Equivalent",62.566101
positive.Alc. Beverages,24.4406049
negative.Roots & Tubers,25.4568975
negative.Olives,373.14168
negative.Cloves,4742.5866
positive.Raw Animal Fats,62.6347033
negative.Millet,2.47844677
positive.Coconuts,61.0020155
negative.Eggs,188.833574
positive.Vegetables,12.4898468
positive.Sesame seeds,282.090488
negative.Marine Fish,158.158321
negative.Wine,12.504488
negative.Pigmeat,7.44598156
negative.Apples,136.520493
negative.Rape and Mustard Oil,160.872752
"negative.Fish, Liver Oil",7351.06729
positive.Maize,23.1195821
negative.Sweeteners,165.255154
"negative.Fish, Body Oil",232.337654
positive.Honey,708.579219
positive.Demersal Fish,86.6905707
positive.Groundnuts Shelled,1802.92627
positive.Barley,84.0850735
negative.Maize Germ Oil,91.8775158
positive.Beer,16.7602923
positive.Groundnut Oil,498.619604
negative.Sugar non-centrifugal,148.639086
negative.Pineapples,33.7991513
positive.Pulses,57.7821719
negative.Meat,39.9177076
positive.Molasses,645.094593
negative.Pimento,266.90333
negative.Palm Oil,13.8032186
positive.Oilcrops,133.519571
negative.Dates,30.8976497
negative.Oats,419.925603
positive.Soybeans,722.123858
negative.Freshwater Fish,32.5051963
negative.Beans,32.757492
negative.Sugar beet,2045.45345
positive.Cephalopods,74.9456836
positive.Mutton & Goat Meat,22.324956
positive.Sesameseed Oil,703.037313
positive.Grapes,135.91309
positive.Beverages (Fermented),10.2105784
negative.Bovine Meat,23.1124338
negative.Molluscs,113.427639
negative.Aquatic Plants,347.712649
negative.Cottonseed Oil,252.425342
positive.Onions,109.218178
positive.Coffee,217.391888
negative.Roots,5.66134098
negative.Sorghum,38.018151
negative.Meat Meal,1.48795731e-07
positive.Infant food,854.204088
positive.Whey,387.778974
negative.Groundnuts Inshell,1238.39401
negative.Sunf seed,1317.95477
positive.Cereals,176.00602
negative.Pepper,7403.52759
negative.Crustaceans,79.3402843
positive.Peas,1357.00328
"positive.Milk, Whole",6.55508114
positive.Nuts,84.3309929
positive.Cocoa Beans,952.728225
positive.Wheat,6.3745915
positive.Cassava,7.57396375
negative.Sugar cane,3.08610815
positive.Cheese,58.2472649
negative.Aquatic Animals,1864.37132
positive.Sunflowerseed Oil,226.491289
negative.Offals,43.3325371
positive.Palmkernel Oil,658.762316
negative.Cream,346.958727
negative.Potatoes,38.6974023
negative.Fruits,18.3670314
positive.Yams,22.2421264
negative.Citrus,163.226615
"positive.Lemons, Limes",24.3322238
positive.Poultry Meat,9.84637026
positive.Tea,207.269918
positive.Soybean Oil,13.9837489
negative.Grapefruit,39.773082
positive.Rye,116.82869
positive.Olive Oil,249.879204
positive.Coconut Oil,252.219484
negative.Milk,5.65156761
negative.Tomatoes,60.3435527
positive.Oilcrops Oil,48.7900665
negative.Pelagic Fish,27.6312205
"positive.Butter, Ghee",139.842024
negative.Bananas,0.130835262
positive.Spices,1473.6295
"negative.Meat, Aquatic Mammals",0.0
positive.Sweet potatoes,9.42550449
"positive.Oranges, Mandarines",25.3680082
