,Cancer Mortality Rate
0,142.1
1,104.9
2,154.6
3,110.9
4,100.7
5,100.2
6,136.8
7,68.9
8,115.9
9,80.8
10,68.0
11,123.1
12,162.0
13,110.5
14,132.9
15,100.1
16,151.5
17,143.9
18,132.7
19,121.6
20,126.3
21,110.7
22,85.7
23,73.3
24,72.1
25,54.7
26,144.6
27,70.8
28,128.3
29,137.7
30,151.1
31,102.3
32,158.8
33,88.2
34,126.4
35,92.6
36,145.4
37,122.9
38,93.7
39,119.7
40,68.4
41,299.0
42,151.5
43,173.3
44,175.7
45,140.1
46,138.1
47,119.4
48,98.8
49,128.7
50,139.9
51,117.2
52,139.2
53,209.0
54,152.6
55,82.2
56,111.2
57,130.8
58,115.1
59,121.6
60,86.5
61,84.6
62,121.6
63,130.0
64,119.7
65,134.7
66,132.1
67,74.8
68,86.9
69,111.8
70,121.6
71,77.0
72,115.3
73,132.5
74,103.8
75,136.2
76,206.4
77,58.2
78,127.0
79,92.7
80,104.7
81,116.8
82,113.9
83,139.8
84,105.1
85,153.0
86,118.5
87,120.5
88,144.2
89,75.1
90,110.8
91,122.3
92,133.5
93,149.7
94,99.7
95,117.3
96,119.9
97,91.3
98,108.7
99,145.1
100,71.6
101,86.1
102,95.0
103,165.0
104,87.8
105,99.9
106,126.9
107,105.2
108,86.5
109,128.1
110,159.0
111,170.6
112,123.2
113,81.4
114,129.6
115,91.5
116,178.7
117,104.4
118,110.2
119,174.6
120,156.6
121,133.0
122,83.9
123,128.4
124,159.3
125,77.4
126,127.5
127,131.7
128,130.0
129,70.3
130,290.5
131,107.1
132,175.3
133,171.5
134,171.6
135,66.9
136,102.5
137,124.1
138,149.6
139,180.5
140,114.4
141,112.8
142,88.0
143,74.3
144,80.3
145,156.6
146,63.8
147,134.2
148,66.9
149,86.4
150,103.1
