Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CC,Food Supply - Crops Primary Equivalent,108,Kazakhstan,645,Food supply quantity (kg/capita/yr),2630,Coffee and products,2000,2000,kg,0.18,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,108,Kazakhstan,645,Food supply quantity (kg/capita/yr),2625,"Fruits, Other",2000,2000,kg,4.42,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,108,Kazakhstan,645,Food supply quantity (kg/capita/yr),2605,"Vegetables, Other",2000,2000,kg,53.97,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,113,Kyrgyzstan,645,Food supply quantity (kg/capita/yr),2630,Coffee and products,2000,2000,kg,0.03,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,113,Kyrgyzstan,645,Food supply quantity (kg/capita/yr),2625,"Fruits, Other",2000,2000,kg,5.67,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,113,Kyrgyzstan,645,Food supply quantity (kg/capita/yr),2605,"Vegetables, Other",2000,2000,kg,74.42,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,208,Tajikistan,645,Food supply quantity (kg/capita/yr),2630,Coffee and products,2000,2000,kg,0.01,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,208,Tajikistan,645,Food supply quantity (kg/capita/yr),2625,"Fruits, Other",2000,2000,kg,3.25,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,208,Tajikistan,645,Food supply quantity (kg/capita/yr),2605,"Vegetables, Other",2000,2000,kg,30.96,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,213,Turkmenistan,645,Food supply quantity (kg/capita/yr),2630,Coffee and products,2000,2000,kg,0.01,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,213,Turkmenistan,645,Food supply quantity (kg/capita/yr),2625,"Fruits, Other",2000,2000,kg,8.2,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,213,Turkmenistan,645,Food supply quantity (kg/capita/yr),2605,"Vegetables, Other",2000,2000,kg,52.91,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,235,Uzbekistan,645,Food supply quantity (kg/capita/yr),2630,Coffee and products,2000,2000,kg,0.0,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,235,Uzbekistan,645,Food supply quantity (kg/capita/yr),2625,"Fruits, Other",2000,2000,kg,8.64,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,235,Uzbekistan,645,Food supply quantity (kg/capita/yr),2605,"Vegetables, Other",2000,2000,kg,59.28,Fc,Calculated data
