,Diabetes Mortality Rate
0,14.0
1,19.8
2,5.0
3,15.9
4,28.9
5,80.5
6,19.9
7,42.7
8,58.8
9,31.5
10,29.1
11,4.9
12,15.9
13,36.6
14,19.8
15,42.4
16,6.1
17,12.3
18,10.7
19,39.8
20,30.2
21,39.9
22,31.9
23,65.5
24,23.4
25,26.4
26,14.4
27,26.2
28,66.7
29,8.3
30,33.0
31,16.0
32,19.6
33,67.3
34,33.0
35,18.0
36,18.0
37,34.0
38,25.7
39,15.1
40,26.7
41,7.6
42,9.4
43,39.6
44,10.7
45,17.7
46,7.4
47,29.4
48,50.2
49,10.8
50,16.7
51,38.4
52,10.7
53,32.2
54,30.6
55,27.9
56,45.9
57,5.1
58,6.3
59,65.8
60,20.9
61,161.8
62,8.5
63,10.2
64,50.6
65,14.8
66,5.7
67,35.0
68,41.0
69,86.3
70,84.3
71,59.6
72,26.0
73,15.5
74,37.8
75,41.5
76,13.2
77,38.8
78,39.3
79,65.2
80,36.2
81,9.4
82,20.7
83,6.8
84,45.6
85,7.8
86,46.8
87,30.6
88,5.1
89,67.2
90,32.4
91,78.6
92,18.3
93,9.3
94,33.6
95,69.1
96,54.0
97,81.3
98,10.8
99,31.3
100,47.4
101,30.2
102,111.5
103,12.0
104,45.3
105,54.3
106,10.2
107,43.6
108,36.1
109,23.3
110,6.0
111,13.5
112,23.7
113,19.4
114,15.4
115,43.9
116,32.3
117,26.7
118,44.3
119,49.9
120,25.4
121,13.8
122,31.2
123,16.0
124,12.6
125,39.4
126,31.1
127,4.0
128,45.1
129,53.0
130,21.6
131,57.5
132,15.0
133,11.9
134,9.7
135,40.0
136,12.5
137,136.8
138,6.4
139,79.4
140,16.1
141,36.4
142,78.9
143,29.7
144,37.0
145,17.4
146,29.5
147,4.7
148,46.8
149,56.3
150,43.2
