Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2000","10.51","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2732","Mutton & Goat Meat","2000","2.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2000","2.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2000","5.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2735","Meat, Other","2000","0.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2736","Offals, Edible","2000","2.79","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2737","Fats, Animals, Raw","2000","1.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2738","Milk, Whole","2000","81.02","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2740","Butter, Ghee","2000","1.20","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2741","Cheese","2000","1.59","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2743","Cream","2000","0.00","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2744","Eggs","2000","5.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2745","Honey","2000","0.21","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2761","Freshwater Fish","2000","0.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2762","Demersal Fish","2000","0.00","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2763","Pelagic Fish","2000","0.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2764","Marine Fish, Other","2000","0.10","Fc","Calculated data"
