Domain,Country,Element,Item,Year,Unit,Value
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1994,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1995,kg,0.03
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1996,kg,0.03
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1997,kg,0.03
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1998,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1999,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",2000,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Aquatic Plants,2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1992,kg,5.78
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1993,kg,5.64
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1994,kg,5.45
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1995,kg,5.4
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1996,kg,5.29
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1997,kg,5.23
Food Supply - Livestock and Fish Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bovine Meat,1998,kg,5.22
