Domain,Country,Element,Item,Year,Unit,Value
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1992,kg,0.09
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1993,kg,0.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1994,kg,0.12
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1995,kg,0.11
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1996,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1997,kg,0.16
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1998,kg,0.15
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,1999,kg,0.14
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Apples and products,2000,kg,0.13
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1992,kg,9.91
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1993,kg,9.34
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1994,kg,8.44
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1995,kg,7.33
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1996,kg,7.37
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1997,kg,11.1
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1998,kg,11.78
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,1999,kg,11.93
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Bananas,2000,kg,11.46
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1992,kg,3.77
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1993,kg,3.2
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1994,kg,3.23
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1995,kg,3.61
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1996,kg,3.44
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1997,kg,3.54
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1998,kg,3.54
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,1999,kg,3.47
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Barley and products,2000,kg,3.36
Food Supply - Crops Primary Equivalent,Eastern Africa,Food supply quantity (kg/capita/yr),Beans,1992,kg,5.85
