Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1992,1992,kg,1.28,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1993,1993,kg,1.79,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1994,1994,kg,1.4,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1995,1995,kg,1.58,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1996,1996,kg,1.69,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1997,1997,kg,1.67,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1998,1998,kg,1.47,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,1999,1999,kg,1.54,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2617,Apples and products,2000,2000,kg,1.58,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1992,1992,kg,6.43,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1993,1993,kg,6.19,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1994,1994,kg,5.98,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1995,1995,kg,5.72,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1996,1996,kg,5.88,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1997,1997,kg,6.8,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1998,1998,kg,7.1,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,1999,1999,kg,7.22,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2615,Bananas,2000,2000,kg,7.04,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1992,1992,kg,4.02,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1993,1993,kg,3.92,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1994,1994,kg,4.48,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1995,1995,kg,4.86,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1996,1996,kg,3.59,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1997,1997,kg,3.52,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1998,1998,kg,5.04,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,1999,1999,kg,4.36,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2513,Barley and products,2000,2000,kg,3.1,Fc,Calculated data
CC,Food Supply - Crops Primary Equivalent,5100,Africa,645,Food supply quantity (kg/capita/yr),2546,Beans,1992,1992,kg,2.52,Fc,Calculated data
