Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","0.34","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.30","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.41","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","0.77","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","0.02","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","9","Argentina","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.24","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","10","Australia","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.21","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","11","Austria","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.75","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","14","Barbados","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","1.92","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","2.97","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","17","Bermuda","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.12","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","20","Botswana","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.57","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.14","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","0.12","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.10","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","0.26","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","25","Solomon Islands","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","26","Brunei Darussalam","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","3.01","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.50","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","1.02","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2923","Spices","2012","2.38","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.82","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","33","Canada","645","Food supply quantity (kg/capita/yr)","2923","Spices","2000","0.65","Fc","Calculated data"
