Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","63.72","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","10.63","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","6.59","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","29.05","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","37.07","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","65.52","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","209.55","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","250.32","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","9","Argentina","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","56.77","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","10","Australia","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","53.90","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","11","Austria","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","62.09","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","33.56","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","14","Barbados","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","56.18","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","20.87","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","46.35","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","17","Bermuda","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","15.87","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","75.10","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","20","Botswana","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","55.84","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","59.79","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","59.18","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","24.02","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","17.17","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","25","Solomon Islands","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","325.24","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","26","Brunei Darussalam","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","15.06","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","32.12","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","6.91","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","21.29","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","142.89","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","33","Canada","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","80.82","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","35","Cabo Verde","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","40.72","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","37","Central African Republic","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","266.08","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","38","Sri Lanka","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","19.03","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","38","Sri Lanka","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","18.52","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","39","Chad","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","56.89","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","39","Chad","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","55.18","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","40","Chile","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","54.61","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","77.02","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","68.96","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","44","Colombia","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","66.30","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","44","Colombia","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2012","72.22","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","46","Congo","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","282.47","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","48","Costa Rica","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","28.50","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","49","Cuba","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","85.47","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","50","Cyprus","645","Food supply quantity (kg/capita/yr)","2907","Starchy Roots","2000","34.99","Fc","Calculated data"
