Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","2.93","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.94","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","4.57","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","1.51","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","3.81","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","4.58","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.17","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","2.63","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","9","Argentina","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","9.13","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","10","Australia","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","5.04","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","11","Austria","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","7.98","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","3.36","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","14","Barbados","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.26","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","0.40","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","17","Bermuda","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","4.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","20","Botswana","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","2.28","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","6.48","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","21","Brazil","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","6.92","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","4.12","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","23","Belize","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","5.15","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","25","Solomon Islands","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","26","Brunei Darussalam","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","9.04","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","3.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.52","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","28","Myanmar","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","2.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.82","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","33","Canada","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","6.91","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","35","Cabo Verde","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","2.26","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","37","Central African Republic","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","1.10","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","38","Sri Lanka","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","1.64","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","38","Sri Lanka","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","1.41","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","39","Chad","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.08","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","39","Chad","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","0.03","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","40","Chile","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","2.52","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","0.38","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","41","China, mainland","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2012","1.15","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","44","Colombia","645","Food supply quantity (kg/capita/yr)","2922","Stimulants","2000","2.33","Fc","Calculated data"
