Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","641","Food supply quantity (tonnes)","2909","Sugar & Sweeteners","2000","76000.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2000","24.71","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","646","Food supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","67.69","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","2000","235.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","1","Armenia","674","Protein supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","641","Food supply quantity (tonnes)","2909","Sugar & Sweeteners","2000","65703.74","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","641","Food supply quantity (tonnes)","2909","Sugar & Sweeteners","2012","276070.66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2000","3.19","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2012","9.26","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","646","Food supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","8.74","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","646","Food supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2012","25.36","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","2000","31.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","2012","87.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2012","0.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","641","Food supply quantity (tonnes)","2909","Sugar & Sweeteners","2000","76000.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2000","23.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","646","Food supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","63.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","2000","188.00","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","3","Albania","674","Protein supply quantity (g/capita/day)","2909","Sugar & Sweeteners","2000","0.00","Fc","Calculated data"
